u,g,r,i,z,u-g,g-r,r-i,i-z
20.24062,19.37672,19.16563,19.05665,19.0198,0.8639,0.21109,0.10898,0.03685
21.21091,20.30442,19.99415,19.83651,19.84539,0.90649,0.31027,0.15764,-0.00888
20.90911,20.03403,19.71892,19.66522,19.65887,0.87508,0.31511,0.0537,0.00635
20.94497,19.97619,19.73838,19.563,19.61612,0.96878,0.23781,0.17538,-0.05312
20.96859,20.07816,19.80578,19.64019,19.7055,0.89043,0.27238,0.16559,-0.06531
19.66945,18.76867,18.54956,18.47578,18.4191,0.90078,0.21911,0.07378,0.05668
19.19481,18.28537,18.05451,17.84677,17.91624,0.90944,0.23086,0.20774,-0.06947
20.79878,19.88152,19.63874,19.57071,19.4768,0.91726,0.24278,0.06803,0.09391
20.80535,19.9911,19.73643,19.60351,19.63525,0.81425,0.25467,0.13292,-0.03174
19.81756,18.86433,18.66076,18.57425,18.55015,0.95323,0.20357,0.08651,0.0241
20.23659,19.35855,19.17594,19.04911,19.03055,0.87804,0.18261,0.12683,0.01856
20.95543,20.05103,19.80702,19.74118,19.67928,0.9044,0.24401,0.06584,0.0619
20.07762,19.17403,18.965,18.88896,18.816,0.90359,0.20903,0.07604,0.07296
20.48171,19.62579,19.3828,19.28415,19.27213,0.85592,0.24299,0.09865,0.01202
21.27877,20.2181,19.92063,19.78066,19.88128,1.06067,0.29747,0.13997,-0.10062
21.8443,19.60668,18.36104,17.86915,17.60623,2.23762,1.24564,0.49189,0.26292
20.54616,19.04167,18.50997,18.30233,18.26121,1.50449,0.5317,0.20764,0.04112
20.96344,20.20701,19.9134,19.78974,19.69855,0.75643,0.29361,0.12366,0.09119
21.1069,20.21036,19.92148,19.81008,19.78647,0.89654,0.28888,0.1114,0.02361
20.40761,19.66129,19.34991,19.28049,19.29479,0.74632,0.31138,0.06942,-0.0143
20.49142,19.49526,19.22621,19.16421,19.1751,0.99616,0.26905,0.062,-0.01089
20.88509,19.91195,19.63623,19.55774,19.4985,0.97314,0.27572,0.07849,0.05924
20.64544,19.69079,19.4313,19.36815,19.43284,0.95465,0.25949,0.06315,-0.06469
19.87255,18.88152,18.63245,18.60739,18.61731,0.99103,0.24907,0.02506,-0.00992
22.01594,20.41139,19.77136,19.53468,19.41752,1.60455,0.64003,0.23668,0.11716
20.0216,19.22372,18.90109,18.80165,18.86018,0.79788,0.32263,0.09944,-0.05853
20.60139,19.70189,19.42915,19.32278,19.3251,0.8995,0.27274,0.10637,-0.00232
19.37793,18.42767,18.24176,18.22509,18.16546,0.95026,0.18591,0.01667,0.05963
20.83704,19.81706,19.36592,19.19708,19.17604,1.01998,0.45114,0.16884,0.02104
19.65403,18.78528,18.57733,18.5004,18.55983,0.86875,0.20795,0.07693,-0.05943
21.27528,18.63262,17.49761,17.07541,16.86007,2.64266,1.13501,0.4222,0.21534
21.97052,19.41777,18.32878,17.89076,17.66368,2.55275,1.08899,0.43802,0.22708
19.57496,18.5798,18.47907,18.49655,18.55256,0.99516,0.10073,-0.01748,-0.05601
20.8984,19.95319,19.62378,19.4961,19.41883,0.94521,0.32941,0.12768,0.07727
20.21183,19.32639,19.05065,18.95941,18.98216,0.88544,0.27574,0.09124,-0.02275
18.99157,17.49053,17.07975,16.89828,16.84343,1.50104,0.41078,0.18147,0.05485
20.60775,19.6251,19.35583,19.27625,19.28391,0.98265,0.26927,0.07958,-0.00766
20.10034,18.80126,18.25096,18.04714,17.94045,1.29908,0.5503,0.20382,0.10669
21.01673,20.2156,19.85782,19.76501,19.62292,0.80113,0.35778,0.09281,0.14209
19.82692,18.64336,18.2111,18.02405,17.97308,1.18356,0.43226,0.18705,0.05097
21.82622,20.65321,19.47378,19.05031,18.70669,1.17301,1.17943,0.42347,0.34362
22.16725,20.29304,18.92598,18.26349,17.88544,1.87421,1.36706,0.66249,0.37805
22.8547,20.40605,19.36654,18.95581,18.65162,2.44865,1.03951,0.41073,0.30419
