r0,g0-r0,Class
18.6313356,0.6048804,1
18.5213356,0.5498804,1
18.5723356,0.6258804,1
18.7293356,0.6768804,1
18.6313356,0.5788804,1
18.7593356,0.6578804,1
18.6533356,0.6238804,1
18.6503356,0.5908804,1
18.6623356,0.6468804,1
18.7233356,0.6428804,1
18.6343356,0.6868804,1
18.6353356,0.5158804,1
18.6713356,0.5968804,1
18.7843356,0.6038804,1
18.7633356,0.6528804,1
18.7273356,0.6788804,1
18.8513356,0.7118804,1
18.7643356,0.5738804,1
18.9403356,0.6888804,1
18.8433356,0.5798804,1
18.8393356,0.5898804,1
18.9013356,0.5978804,1
18.9913356,0.6428804,1
18.9123356,0.6188804,1
18.6243356,0.6208804,1
18.8493356,0.6608804,1
18.9483356,0.6388804,1
19.0493356,0.7538804,1
18.9693356,0.6288804,1
19.0353356,0.6468804,1
19.1043356,0.6828804,1
19.0653356,0.7818804,1
18.8703356,0.6158804,1
19.0553356,0.6678804,1
18.9783356,0.6178804,1
19.0203356,0.6978804,1
19.0283356,0.6738804,1
19.0703356,0.6968804,1
19.1943356,0.8098804,1
19.0963356,0.7048804,1
19.1913356,0.7118804,1
19.0793356,0.7368804,1
19.1263356,0.7858804,1
19.2043356,0.7198804,1
19.3813356,0.7308804,1
19.3173356,0.6878804,1
19.3193356,0.7818804,1
19.2173356,0.7678804,1
19.4003356,0.8628804,1
19.4213356,0.7548804,1
19.6373356,0.9948804,1
19.4203356,0.7638804,1
19.5973356,0.7948804,1
19.8933356,0.9328804,1
19.9253356,1.0128804,1
19.7503356,0.8388804,1
19.7583356,0.8618804,1
19.7673356,0.7618804,1
19.6493356,0.7608804,1
20.0813356,0.9208804,1
19.9433356,0.8288804,1
20.1363356,0.9968804,1
20.0573356,0.8898804,1
20.0493356,0.9588804,1
20.0243356,0.9208804,1
19.0483356,0.6878804,1
19.2823356,0.7168804,1
19.1793356,0.7858804,1
19.4933356,0.8528804,1
19.4253356,0.8178804,1
17.2063356,0.4768804,1
18.2093356,0.5318804,1
18.4453356,0.5668804,1
18.6003356,0.6628804,1
18.7143356,0.6048804,1
18.7923356,0.6098804,1
18.9273356,0.6758804,1
19.0923356,0.7148804,1
19.1363356,0.6648804,1
19.4463356,0.8558804,1
19.7303356,0.9858804,1
19.6823356,0.9278804,1
19.8603356,0.8828804,1
20.0933356,1.0798804,1
20.0623356,0.8948804,1
18.8213356,0.6498804,1
18.8103356,0.6608804,1
18.9323356,0.6548804,1
19.1293356,0.7718804,1
19.9123356,0.8708804,1
19.9813356,0.8638804,1
17.8483356,0.4788804,1
18.4403356,0.6468804,1
19.0133356,0.6798804,1
