kic,bjd0,period
KIC 4839180,54953.952362,8.8526867
KIC 4840263,54966.371846,1.9156478
KIC 4840818,54966.119445,10.0495365
KIC 4843222,54964.901521,0.3874053
KIC 4843592,54862.093711,0.4835365
KIC 4847343,55005.987387,11.416917
KIC 4847369,55001.737547,12.3500141
KIC 4848423,55000.580941,3.0036527
KIC 4850874,54953.774436,1.775901
KIC 4851217,54953.900507,2.47028
KIC 4851464,55005.060765,5.5482571
KIC 4852055,54966.425501,2.414857
KIC 4853067,54954.860913,1.3409216
KIC 4857282,54904.264881,0.2507526
KIC 4859432,54949.994605,0.38548
KIC 4860932,54970.890452,12.365356
KIC 4902030,54965.266622,1.757606
KIC 4904304,54964.743865,0.389474
KIC 4908495,54965.368046,3.1203153
KIC 4909422,54953.788909,0.3951035
KIC 4909707,54953.913193,2.3023637
KIC 4912991,54971.049805,8.8850348
KIC 4921906,54964.617446,0.2137324
KIC 4929299,54965.083909,0.8687195
KIC 4932691,54967.712673,18.1120792
KIC 4935914,54999.242862,3.4863333
KIC 4936180,54964.943578,4.6409218
KIC 4936334,54964.924771,0.3543686
KIC 4936680,54999.866063,0.6662267
KIC 4936990,55187.308477,10.3145092
KIC 4937143,55002.141381,9.848876
KIC 4937217,54964.627168,0.4293417
KIC 4940201,54967.276926,8.8166283
KIC 4940438,54969.651791,9.085907
KIC 4941060,54964.691063,0.3034224
KIC 4945035,55002.423514,1.174683
KIC 4945588,54954.186276,1.12908
KIC 4945857,54964.832845,0.3354148
KIC 4946584,55063.182705,0.4539717
KIC 4946680,54965.209594,8.6652604
KIC 4947528,54964.674045,0.4969885
KIC 4947726,54965.922364,4.7260862
KIC 4948863,54972.83142,8.6435903
KIC 4949187,54997.748947,11.9773917
KIC 4949770,54955.080993,1.5640913
KIC 4950505,54964.865804,0.2948091
KIC 4954113,55001.996853,0.668027
KIC 4990977,54966.378799,2.649025
KIC 4991959,54964.757061,0.3609387
KIC 4999260,54953.743079,0.3783682
KIC 4999357,54953.89096,0.9901294
KIC 5000179,55124.704902,3.6329355
KIC 5005570,54964.987536,0.4228439
KIC 5008287,54964.561803,0.2918775
KIC 5014753,54966.999059,3.1706264
KIC 5015913,54954.581594,2.3599371
KIC 5015926,54953.962477,0.3626874
KIC 5016163,54964.856493,5.2456595
KIC 5017058,54955.915793,2.3238948
KIC 5018787,54965.014611,0.6071918
KIC 5020034,54999.491731,2.1191112
KIC 5021174,55001.636952,4.045054
KIC 5021732,54977.135482,15.0395069
KIC 5022440,54966.608467,3.6939503
KIC 5022573,54953.97265,0.4417245
KIC 5022908,54999.972021,0.6372483
KIC 5023948,55002.377045,3.6492928
KIC 5024292,55466.368741,4.3010324
KIC 5024450,55188.478488,3.0518511
KIC 5025261,55001.691757,2.1714108
KIC 5025294,54967.264574,5.4626904
KIC 5033682,54953.73167,0.3799156
KIC 5034333,54954.027612,6.93228
KIC 5036538,54965.520704,2.1220164
KIC 5039441,54955.35136,2.1513832
KIC 5041569,54965.220789,2.5354364
KIC 5041843,54999.871556,0.4572343
KIC 5041975,54964.909726,2.959929
KIC 5077629,54965.583952,7.9193695
