kepid,kepler_name,koi_period,koi_time0bk,koi_duration
KIC 5695396,Kepler-131 b,16.09196369,170.598832,2.8943
KIC 5706595,Kepler-370 b,4.57948235,135.09685,3.106
KIC 5706966,Kepler-333 b,12.55111099,137.26226,3.1293
KIC 5709725,Kepler-598 b,3.701765401,172.44778,2.6061
KIC 5728139,Kepler-433 b,5.334082429,131.981761,6.2226
KIC 5735762,Kepler-48 b,4.77800306,124.061465,2.7361
KIC 5735762,Kepler-48 c,9.673958488,125.339418,3.2641
KIC 5774349,Kepler-599 b,15.65563866,170.78358,3.9305
KIC 5780885,Kepler-7 b,4.885488596,134.2768785,5.16165
KIC 5780930,Kepler-1492 b,16.7525077,131.59834,3.174
KIC 5784777,Kepler-1529 b,5.33905606,132.14193,1.6415
KIC 5791986,Kepler-151 b,15.22895514,176.56001,2.5967
KIC 5792202,Kepler-27 b,15.33528675,174.00278,3.897
KIC 5794240,Kepler-45 b,2.455240626,170.821762,1.72722
KIC 5794379,Kepler-241 b,12.71809866,175.35526,3.0957
KIC 5794570,Kepler-1312 b,5.448321078,132.49088,2.2213
KIC 5796675,Kepler-636 b,16.080657264,182.7601,2.8701
KIC 5807769,Kepler-1289 b,7.99022379,132.268,3.273
KIC 5809890,Kepler-755 b,1.269091415,133.343682,1.4647
KIC 5809890,Kepler-755 c,2.853133997,133.79678,1.465
KIC 5812701,Kepler-448 b,17.855221681,146.596466,7.41287
KIC 5812960,Kepler-582 b,18.49234792,173.49816,3.4744
KIC 5856571,Kepler-971 b,9.59068586,132.68264,3.452
KIC 5857540,Kepler-1242 b,13.62801048,135.45073,3.5374
KIC 5866724,Kepler-65 b,2.154911236,133.498613,3.1341
KIC 5866724,Kepler-65 c,5.859935955,132.040528,4.0185
KIC 5866724,Kepler-65 d,8.13121389,137.99254,4.2386
KIC 5868793,Kepler-1582 b,4.83809469,135.1562,1.096
KIC 5880320,Kepler-758 b,12.10968709,140.21258,6.3461
KIC 5880320,Kepler-758 c,4.75796103,137.69636,4.66
KIC 5880320,Kepler-758 e,8.19345065,138.99617,5.234
KIC 5881688,Kepler-696 b,4.190425659,171.44122,2.8589
KIC 5895158,Kepler-1532 b,1.093665854,132.47213,1.4399
KIC 5940165,Kepler-1062 b,9.30413878,140.33868,1.9254
KIC 5941160,Kepler-200 b,8.59481851,171.62781,3.254
KIC 5941160,Kepler-200 c,10.22215697,135.89017,1.1939
KIC 5956342,Kepler-265 b,6.84619236,132.17265,3.529
KIC 5956342,Kepler-265 c,17.02902786,143.33395,4.645
KIC 5956656,Kepler-756 b,1.224866441,133.20824,1.7086
KIC 5959719,Kepler-390 b,6.73808701,133.32953,2.591
KIC 5959719,Kepler-390 c,13.0600399,144.33107,2.851
KIC 5959753,Kepler-496 b,8.30865307,138.10788,3.2747
KIC 5965819,Kepler-1468 b,8.23983041,137.75528,5.619
KIC 5965819,Kepler-1468 c,3.54553077,132.37486,4.143
KIC 5972334,Kepler-487 b,15.358767771,132.385085,4.1223
KIC 5980208,Kepler-1331 b,0.789160884,131.50545,0.9268
KIC 6020753,Kepler-202 b,4.069425638,171.017743,2.0396
KIC 6020753,Kepler-202 c,16.28247625,180.79815,2.9227
KIC 6021193,Kepler-363 b,3.61460279,134.69521,3.227
KIC 6021193,Kepler-363 c,7.54235832,132.96117,4.73
KIC 6021193,Kepler-363 d,11.93205399,142.10648,6.205
KIC 6021275,Kepler-132 b,6.17817366,168.8626,3.2601
KIC 6021275,Kepler-132 c,6.41491277,169.64044,3.3629
KIC 6021275,Kepler-132 d,18.01019956,179.42137,3.516
KIC 6022556,Kepler-697 b,3.709870784,171.987982,3.0694
KIC 6026438,Kepler-354 b,5.47665801,135.70431,2.5482
KIC 6026438,Kepler-354 c,16.9348104,137.2502,3.408
KIC 6029239,Kepler-518 b,8.512037736,174.909816,2.1861
KIC 6032497,Kepler-698 b,16.3297527,177.29506,6.271
KIC 6034945,Kepler-927 b,9.11500269,133.97523,4.558
KIC 6035124,Kepler-1081 b,3.85690686,134.47405,2.0808
